,name,latitude,longitude,category
30,Leadership High School,37.721607,-122.445007,school
31,Lick Wilmerding High School,37.72237,-122.449134,school
32,Katherine Delmar Burke School,37.783669,-122.492831,school
33,Lowell High School,37.730788,-122.483799,school
34,Jose Ortega Elementary School,37.716303,-122.466464,school
35,The Brandeis School of San Francisco,37.713325,-122.475453,school
36,Fernando Rivera Intermediate School,37.676452,-122.486573,school
37,El Camino High School,37.666933,-122.44141,school
38,All Souls Catholic School,37.657254,-122.41528,school
39,South San Francisco High School,37.647806,-122.426392,school
40,Yu Ming Charter School,37.847501,-122.283584,school
41,Westlake Middle School,37.814664,-122.261088,school
42,Tamalpais Valley Elementary School,37.874053,-122.527712,school
43,Franklin Elementary School,37.793312,-122.248663,school
44,American International Montessori School,37.847364,-122.270655,school
45,Grand Lake Montessori,37.815984,-122.2509,school
46,Monte Verde Elementary,37.636386,-122.45177,school
47,Cleveland Elementary School,37.804093,-122.2439,school
48,Good Shepherd Catholic School,37.64193,-122.489095,school
49,Shu Ren International,37.870122,-122.285899,school
0,Starbucks,37.777119,-122.419416,starbucks
1,Starbucks,37.784144,-122.407429,starbucks
2,Starbucks,37.766742,-122.409414,starbucks
3,Starbucks,37.77705,-122.417333,starbucks
4,Starbucks,37.767121,-122.393738,starbucks
5,Starbucks,37.788371,-122.393555,starbucks
6,Starbucks,37.789098,-122.408438,starbucks
7,Starbucks,37.765871,-122.40327,starbucks
8,Starbucks,37.78447,-122.404008,starbucks
9,Starbucks,37.788558,-122.434715,starbucks
10,Starbucks,37.790288,-122.433886,starbucks
11,Starbucks,37.761005,-122.434723,starbucks
12,Starbucks,37.786534,-122.408216,starbucks
13,Starbucks,37.782897,-122.431441,starbucks
14,Starbucks,37.786145,-122.405612,starbucks
15,Starbucks,37.793818,-122.396678,starbucks
16,Starbucks,37.762898,-122.410549,starbucks
17,Starbucks,37.808309,-122.413086,starbucks
18,Starbucks,37.765899,-122.403343,starbucks
19,Starbucks,37.799192,-122.449395,starbucks
20,Starbucks,37.771253,-122.38925,starbucks
21,Starbucks,37.789293,-122.406729,starbucks
22,Starbucks,37.769017,-122.427967,starbucks
23,Starbucks,37.790219,-122.421982,starbucks
24,Starbucks,37.770241,-122.403384,starbucks
25,Starbucks,37.787194,-122.410692,starbucks
26,Starbucks,37.794601,-122.402669,starbucks
27,Starbucks,37.783427,-122.433049,starbucks
28,Starbucks,37.805322,-122.414988,starbucks
29,Starbucks,37.751353,-122.431652,starbucks
30,Starbucks,37.796744,-122.422081,starbucks
31,Starbucks,37.797625,-122.430406,starbucks
32,Starbucks,37.785943,-122.439864,starbucks
33,Starbucks,37.789599,-122.401872,starbucks
34,Starbucks,37.775689,-122.446208,starbucks
35,Starbucks,37.790448,-122.405722,starbucks
36,Starbucks,37.784199,-122.404135,starbucks
37,Starbucks,37.786226,-122.453212,starbucks
38,Starbucks,37.788625,-122.422318,starbucks
39,Starbucks,37.790646,-122.403867,starbucks
40,Starbucks,37.741145,-122.387696,starbucks
41,Starbucks,37.787664,-122.401113,starbucks
42,Starbucks,37.764164,-122.456344,starbucks
43,Starbucks,37.79291,-122.40429,starbucks
44,Starbucks,37.793025,-122.39978,starbucks
45,Starbucks,37.797015,-122.398007,starbucks
46,Starbucks,37.782117,-122.446733,starbucks
47,Starbucks,37.80278,-122.402936,starbucks
48,Starbucks Reserve,37.791487,-122.395101,starbucks
49,Starbucks,37.77009,-122.416062,starbucks
