,name,latitude,longitude,category
5,Hudson Clearwater,40.731169,-74.006867,vegan-restaurant
6,Nish Nush,40.709455,-74.008014,vegan-restaurant
7,Sweetgreen,40.702778,-73.989816,vegan-restaurant
8,Public Records,40.682166,-73.98639,vegan-restaurant
9,Sweetgreen,40.733936,-73.992393,vegan-restaurant
10,Sweetgreen,40.739288,-74.005879,vegan-restaurant
11,Jajaja,40.729852,-74.004585,vegan-restaurant
12,Lekka Burger,40.715049,-74.010549,vegan-restaurant
13,Sweetgreen,40.715873,-73.959168,vegan-restaurant
14,Spicy Moon Vegeta,40.726634,-73.987129,vegan-restaurant
15,Sweetgreen,40.744935,-73.988633,vegan-restaurant
16,Spicy Moon Vegan,40.729301,-73.998192,vegan-restaurant
17,Soda Club,40.726672,-73.979753,vegan-restaurant
18,Clementine Bakery,40.687581,-73.959514,vegan-restaurant
19,Planta Queen,40.74441,-73.988319,vegan-restaurant
20,Sweetgreen,40.752533,-73.987009,vegan-restaurant
21,Kimbap Lab,40.716206,-73.959791,vegan-restaurant
22,Bunna Cafe,40.704924,-73.927895,vegan-restaurant
23,Red Bamboo,40.731292,-74.000367,vegan-restaurant
24,Zooba,40.72118,-73.997304,vegan-restaurant
25,Beyond Sushi Herald Square,40.752383,-73.988576,vegan-restaurant
26,Modern Love Brooklyn,40.709803,-73.951208,vegan-restaurant
27,Franchia,40.747505,-73.981396,vegan-restaurant
28,Natural Blend,40.673855,-73.962778,vegan-restaurant
29,Wild Ginger Vegetarian Kitchen,40.7205,-73.996536,vegan-restaurant
30,Dun-Well Doughnuts,40.707453,-73.940252,vegan-restaurant
31,Buddha Bodai,40.713803,-73.998847,vegan-restaurant
32,Hangawi,40.746764,-73.984862,vegan-restaurant
33,sweetgreen,40.715159,-74.034124,vegan-restaurant
34,Beyond Sushi,40.763269,-73.97712,vegan-restaurant
35,Dirt Candy,40.717852,-73.990757,vegan-restaurant
36,Guevara’s,40.687921,-73.96293,vegan-restaurant
37,Etérea,40.724686,-73.983697,vegan-restaurant
38,Le Petit Monstre,40.696201,-73.967787,vegan-restaurant
39,Sweetgreen,40.752639,-74.001035,vegan-restaurant
40,Ras Plant Based,40.673368,-73.956829,vegan-restaurant
41,Sweetgreen,40.767052,-73.956819,vegan-restaurant
42,Jajaja Mexicana,40.720173,-73.961701,vegan-restaurant
43,Peacefood Cafe,40.785289,-73.977105,vegan-restaurant
44,Delice & Sarrasin,40.733709,-74.000768,vegan-restaurant
45,The Hummus & Co - Ave,40.739182,-73.995875,vegan-restaurant
46,Izzy Rose,40.686903,-73.962672,vegan-restaurant
47,Pet Shop,40.721303,-74.04607,vegan-restaurant
48,The Butcher's Daughter,40.72071,-73.994754,vegan-restaurant
49,The Cliff,40.749215,-74.041391,vegan-restaurant
0,The Up and Up,40.729613,-74.000606,club
1,Village Vanguard,40.736003,-74.001688,club
2,The Royal Palms Shuffleboard Club,40.678593,-73.986948,club
3,Brouwerij Lane,40.729742,-73.957869,club
4,Le Bain,40.740795,-74.007991,club
5,Goldie's,40.72571,-73.945272,club
6,Birdland,40.759098,-73.98967,club
7,Tao Downtown,40.742413,-74.004038,club
8,As Is NYC,40.764662,-73.991461,club
9,Barbes,40.667789,-73.983821,club
10,House of Yes,40.706711,-73.923555,club
11,Bonnie Vee,40.722402,-73.992027,club
12,Karaoke Duet 53,40.764316,-73.984282,club
13,Pearl's Social & Billy Club,40.707145,-73.921262,club
14,169 Bar,40.713955,-73.989791,club
15,Stonewall Inn,40.733886,-74.002172,club
16,The Narrows,40.704146,-73.930789,club
17,The Carnegie Club,40.764334,-73.979652,club
18,STK,40.739906,-74.007332,club
19,Indoors at Nowadays,40.692844,-73.901482,club
20,Mercury Lounge,40.722113,-73.986777,club
21,Rudy's Bar & Grill,40.760014,-73.991715,club
22,The Frying Pan,40.752274,-74.00849,club
23,Duff's,40.708761,-73.957888,club
24,The Eagle,40.751736,-74.00445,club
25,Good Room,40.726855,-73.952868,club
26,Nublu,40.725644,-73.977967,club
27,Bossa Nova Civic Club,40.69791,-73.928065,club
28,The Duplex,40.733762,-74.002493,club
29,Sugar Monk,40.808914,-73.951744,club
30,The Core Club,40.760528,-73.972688,club
31,Ty's,40.733099,-74.005328,club
32,Bembe,40.711155,-73.965138,club
