,name,latitude,longitude,category,geometry
1,Rucker Park Basketball Courts,40.829736,-73.936358,basketball-court,"{'type': 'Point', 'coordinates': [40.829736, -73.936358]}"
2,West 4th Street Courts,40.731228,-74.000757,basketball-court,"{'type': 'Point', 'coordinates': [40.731228, -74.000757]}"
3,Hudson River Park Basketball Court,40.718869,-74.012884,basketball-court,"{'type': 'Point', 'coordinates': [40.718869, -74.012884]}"
4,Dyckman Basketball Court,40.862664,-73.920891,basketball-court,"{'type': 'Point', 'coordinates': [40.862664, -73.920891]}"
5,Basketball Courts,40.725705,-74.011409,basketball-court,"{'type': 'Point', 'coordinates': [40.725705, -74.011409]}"
6,Jordan Terminal 23,40.749365,-73.990423,basketball-court,"{'type': 'Point', 'coordinates': [40.749365, -73.990423]}"
7,Marvin's Court,40.713892,-74.009456,basketball-court,"{'type': 'Point', 'coordinates': [40.713892, -74.009456]}"
8,Sugar NYC,40.709285,-74.006349,basketball-court,"{'type': 'Point', 'coordinates': [40.709285, -74.006349]}"
9,45 Wall Basketball Court,40.706223,-74.00985,basketball-court,"{'type': 'Point', 'coordinates': [40.706223, -74.00985]}"
10,15 William Basketball Court,40.705347,-74.010339,basketball-court,"{'type': 'Point', 'coordinates': [40.705347, -74.010339]}"
11,Lehman High School Gym,40.70576,-74.014981,basketball-court,"{'type': 'Point', 'coordinates': [40.70576, -74.014981]}"
12,Masaryk Basketball,40.717374,-73.980524,basketball-court,"{'type': 'Point', 'coordinates': [40.717374, -73.980524]}"
13,BTSH Hockey League,40.724199,-73.981446,basketball-court,"{'type': 'Point', 'coordinates': [40.724199, -73.981446]}"
14,Zogsports- Stuyvesant Town Bball Court,40.731429,-73.981379,basketball-court,"{'type': 'Point', 'coordinates': [40.731429, -73.981379]}"
15,Playground 9- Basketball Court/Sprinklers,40.732173,-73.979793,basketball-court,"{'type': 'Point', 'coordinates': [40.732173, -73.979793]}"
16,William Sheridan Courts,40.715371,-73.964778,basketball-court,"{'type': 'Point', 'coordinates': [40.715371, -73.964778]}"
17,Church Square Park Basketball Courts,40.741938,-74.031314,basketball-court,"{'type': 'Point', 'coordinates': [40.741938, -74.031314]}"
18,Basketball Gym At The Dylan,40.746532,-73.985464,basketball-court,"{'type': 'Point', 'coordinates': [40.746532, -73.985464]}"
19,McCarren Park Basketball Courts,40.71699,-73.956722,basketball-court,"{'type': 'Point', 'coordinates': [40.71699, -73.956722]}"
20,Madison Club,40.750471,-73.993437,basketball-court,"{'type': 'Point', 'coordinates': [40.750471, -73.993437]}"
21,The Post,40.725252,-73.954334,basketball-court,"{'type': 'Point', 'coordinates': [40.725252, -73.954334]}"
22,Robert Moses Basketball Courts,40.748117,-73.968711,basketball-court,"{'type': 'Point', 'coordinates': [40.748117, -73.968711]}"
23,UN Basketball Courts,40.748064,-73.968665,basketball-court,"{'type': 'Point', 'coordinates': [40.748064, -73.968665]}"
24,14th Street Viaduct Basketball Court,40.754792,-74.034179,basketball-court,"{'type': 'Point', 'coordinates': [40.754792, -74.034179]}"
25,ABC Hoops NYC Midtown West Arena,40.763658,-73.990679,basketball-court,"{'type': 'Point', 'coordinates': [40.763658, -73.990679]}"
26,Harborview Basketball Courts,40.768133,-73.990644,basketball-court,"{'type': 'Point', 'coordinates': [40.768133, -73.990644]}"
27,LINC Basketball Court,40.74865,-73.942745,basketball-court,"{'type': 'Point', 'coordinates': [40.74865, -73.942745]}"
28,Queensbridge Basketball Courts,40.755053,-73.949454,basketball-court,"{'type': 'Point', 'coordinates': [40.755053, -73.949454]}"
29,Kosciuszko st payground nyc,40.693266,-73.928325,basketball-court,"{'type': 'Point', 'coordinates': [40.693266, -73.928325]}"
30,Charles Barkley Center,40.661693,-73.958035,basketball-court,"{'type': 'Point', 'coordinates': [40.661693, -73.958035]}"
31,NY Urban Basketball,40.785851,-73.974286,basketball-court,"{'type': 'Point', 'coordinates': [40.785851, -73.974286]}"
32,Valhalla Courts,40.636126,-74.020535,basketball-court,"{'type': 'Point', 'coordinates': [40.636126, -74.020535]}"
33,Trinity School - Advertising Basketball League,40.79047,-73.971143,basketball-court,"{'type': 'Point', 'coordinates': [40.79047, -73.971143]}"
34,Tilden Playground,40.649707,-73.932687,basketball-court,"{'type': 'Point', 'coordinates': [40.649707, -73.932687]}"
35,Aron Hall Basketball Courts,40.788057,-73.952428,basketball-court,"{'type': 'Point', 'coordinates': [40.788057, -73.952428]}"
36,North Meadow Basketball Courts,40.791165,-73.959323,basketball-court,"{'type': 'Point', 'coordinates': [40.791165, -73.959323]}"
37,Happy Warrior Playground Basketball Courts,40.79577,-73.96877,basketball-court,"{'type': 'Point', 'coordinates': [40.79577, -73.96877]}"
38,PS 145 Basketball Courts,40.798393,-73.965593,basketball-court,"{'type': 'Point', 'coordinates': [40.798393, -73.965593]}"
39,Franklin Plaza Ball Courts,40.79181,-73.943261,basketball-court,"{'type': 'Point', 'coordinates': [40.79181, -73.943261]}"
40,Riverside Park Basketball Courts,40.806162,-73.96983,basketball-court,"{'type': 'Point', 'coordinates': [40.806162, -73.96983]}"
41,Morningside Park Basketball Court,40.80306,-73.958646,basketball-court,"{'type': 'Point', 'coordinates': [40.80306, -73.958646]}"
42,Seth Low Basketball Court,40.603406,-73.985746,basketball-court,"{'type': 'Point', 'coordinates': [40.603406, -73.985746]}"
43,Marine Park Basketball Courts,40.608548,-73.936784,basketball-court,"{'type': 'Point', 'coordinates': [40.608548, -73.936784]}"
44,First Street Basketball Courts,40.646217,-74.134001,basketball-court,"{'type': 'Point', 'coordinates': [40.646217, -74.134001]}"
45,Queens BasketBall Court,40.768523,-73.868356,basketball-court,"{'type': 'Point', 'coordinates': [40.768523, -73.868356]}"
46,Riverbank State Park Athletics,40.826267,-73.956099,basketball-court,"{'type': 'Point', 'coordinates': [40.826267, -73.956099]}"
47,Boystown Gymnasium,40.768953,-74.151834,basketball-court,"{'type': 'Point', 'coordinates': [40.768953, -74.151834]}"
48,Roberto Clemente State Park,40.85254,-73.92169,basketball-court,"{'type': 'Point', 'coordinates': [40.85254, -73.92169]}"
49,EBC Rucker Park,40.829566,-73.936658,basketball-court,"{'type': 'Point', 'coordinates': [40.829566, -73.936658]}"
0,Metrograph,40.715144,-73.991174,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.715144, -73.991174]}"
1,Sweetgreen,40.705613,-74.008517,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.705613, -74.008517]}"
2,Sweetgreen,40.729937,-74.002583,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.729937, -74.002583]}"
3,Le Botaniste,40.720398,-74.000286,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.720398, -74.000286]}"
4,Sweetgreen,40.738172,-73.991337,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.738172, -73.991337]}"
5,Hudson Clearwater,40.731169,-74.006867,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.731169, -74.006867]}"
6,Nish Nush,40.709455,-74.008014,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.709455, -74.008014]}"
7,Sweetgreen,40.702778,-73.989816,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.702778, -73.989816]}"
8,Public Records,40.682166,-73.98639,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.682166, -73.98639]}"
9,Sweetgreen,40.733936,-73.992393,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.733936, -73.992393]}"
10,Sweetgreen,40.739288,-74.005879,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.739288, -74.005879]}"
11,Jajaja,40.729852,-74.004585,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.729852, -74.004585]}"
12,Lekka Burger,40.715049,-74.010549,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.715049, -74.010549]}"
13,Sweetgreen,40.715873,-73.959168,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.715873, -73.959168]}"
14,Spicy Moon Vegeta,40.726634,-73.987129,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.726634, -73.987129]}"
15,Sweetgreen,40.744935,-73.988633,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.744935, -73.988633]}"
16,Spicy Moon Vegan,40.729301,-73.998192,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.729301, -73.998192]}"
17,Soda Club,40.726672,-73.979753,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.726672, -73.979753]}"
18,Clementine Bakery,40.687581,-73.959514,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.687581, -73.959514]}"
19,Planta Queen,40.74441,-73.988319,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.74441, -73.988319]}"
20,Sweetgreen,40.752533,-73.987009,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.752533, -73.987009]}"
21,Kimbap Lab,40.716206,-73.959791,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.716206, -73.959791]}"
22,Bunna Cafe,40.704924,-73.927895,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.704924, -73.927895]}"
23,Red Bamboo,40.731292,-74.000367,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.731292, -74.000367]}"
24,Zooba,40.72118,-73.997304,vegan-restaurant,"{'type': 'Point', 'coordinates': [40.72118, -73.997304]}"
